time,jaccard_useful,jaccard_useless,model_name,test,env,batch,underlying_model,model_class,finish_time,jaccard,precision,recall,f1,completeness
0.0,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
10.493777990341187,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
20.117635250091553,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
29.506818294525146,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
38.650519371032715,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
48.13337445259094,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
58.944913387298584,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
69.18346071243286,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
79.01106095314026,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
89.65991187095642,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
100.30640983581543,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
110.98402857780457,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
122.67773747444153,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
132.53940534591675,0.0,0.0,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
141.98738169670105,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
151.97599053382874,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
161.8260636329651,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
171.06923007965088,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
180.13192677497864,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
189.04263377189636,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
197.7435121536255,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
206.40113043785095,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
214.70447278022766,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
223.25258612632751,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
233.17723107337952,0.45,0.9734693877551021,batch_extra_trees_1000,madelon2,ganxis,True,Extra Trees,Batch Boruta Extra Trees,1588086684,0.43478260869565216,0.7692307692307693,0.5,0.6060606060606061,0.46778883304516533
